GENERAL,GRUPOS,SUBGRUPOS,,
,,,,
N1,N2,N3,N4,N5
Financiero,,,,
DDP,,,,
Legal,,,,
Consultoria de gestión,,,,
Sistemas,,,,
Consultoría tecnológica,,,,
,Desarrollo,,,
,,Lenguajes de programación,,
,,,Java,
,,,Kotlin,
,,,Dart (Flutter),
,,,PL/SQL,
,,,JavaScript,
,,,TypeScript,
,,,Python,
,,,C,
,,,C++,
,,,C#,
,,,VB,
,,,NetCore,
,,,.NET Framework,
,,,Go (Golang),
,,,SQL,
,,,PHP,
,,Frameworks backend,,
,,,JBoss Seam,
,,,CDI,
,,,Hibernate,
,,,Entity Framework,
,,,Boost,
,,,Spring Boot,
,,,Spring Framework,
,,,Node.js,
,,,GO kit,
,,,Gin Web Framework,
,,,JSF,
,,,Apache Struts,
,,Frameworks frontend,,
,,,HTML5,
,,,CSS3,
,,,Sass,
,,,Less,
,,,Bootstrap,
,,,Tailwind CSS,
,,,ReactJs,
,,,Vue.js,
,,,Angular,
,,,Webpack,
,,,Next.js,
,,,Nuxt.js,
,,,HTML+Angular (Ionic),
,,,HTML+ React (React native),
,,,Strapi CMS Headless,
,,,Node.js,
,,,React,
,,,AspNet,
,,,WPF,
,,,WinForms,
,,,AccessForms,
,,,Qt,
,,,PreAct,
,,,Material UI,
,,Constructores,,
,,,Maven,
,,,Gradle,
,,,Keil,
,,,CMake,
,,,Make,
,,,NPM,
,,GenIA,,
,,,Prompting,
,,,RAG,
,,,Vecto DB,
,,,fine-tunning,
,,,LangChain,
,,,LangSmith,
,,,LangGraph,
,,,Multi-agents,
,,,Multi-modal,
,Bases de datos y Almacenamiento,,,
,,SQL,,
,,,Oracle,
,,,MySQL,
,,,PostgreSQL,
,,,SQL Server,
,,,InfluxDB base de datos de series temporales,
,,,SQLite,
,,,Maria DB,
,,,IBM Db2 Database,
,,,H2,
,,,Apache Derby,
,,No-SQL,,
,,,Couch DB,
,,,Couchbase,
,,,Cassandra,
,,,Mongo DB,
,,,Apache HBase,
,,,Hazelcast,
,,,Memcached,
,,Caché y Mensajería,,
,,,Redis,
,,Motores de Búsqueda,,
,,,Elastic Search,
,Gestión de proyectos,,,
,,Metodologías,,
,,,Scrum,
,,,DevOps,
,,,Kanban,
,,Herramientas de gestión de proyectos,,
,,,Jira,
,,,Confluence,
,,,Trello,
,,,Redmine,
,,Análisis y documentación,,
,,,Análisis de requisitos,
,,,Documentación de propuestas,
,,,Historias de Usuario,
,,,Casos de uso,
,,Prototipado y Diseño,,
,,,UML,
,,,Figma,
,,Comunicación con el cliente,,
,,,Reuniones con el cliente,
,,,Consultoría,
,,,Gestión de proyectos,
,,,Presentaciones a clientes,
,,Gestión comercial,,
,,,Propuestas de proyectos,
,,,Propuestas de licitaciones,
,DevSecOps,,,
,,Herramientas CI,,
,,,Jenkins,
,,,Git Lab CI/CD,
,,,GitHub Actions,
,,,,Uso
,,,,Administración
,,VCS (Version Control System),,
,,,Git,
,,,Gitlab,
,,,,Uso
,,,,Administración
,,,GitHub,
,,,BitBucket,
,,,SVN,
,,Branching,,
,,,Gitflow,
,,,GitlabFlow,
,,,Trunk based,
,,Contenedores y Orquestación,,
,,,Docker,
,,,Docker Compose,
,,,Kubernetes,
,,,Docker Hub,
,,,Nexus,
,,,LXC,
,,,Kubernetes Ingres,
,,,Istio service mesh,
,,,Github Packages,
,,Log y Monitoreo,,
,,,Apache Log4j,
,,,Simple Logging Facade for Java (SLF4J),
,,,java.util.logging (JUL),
,,,Logstash,
,,,Beats,
,,,ELK Stack,
,,,Kibana,
,,,Grafana,
,,,Prometheus,
,,,Nagios,
,,,Dynatrace,
,,,Jaeger,
,,Calidad de código y Seguridad en el desarrollo,,
,,,Sonarqube,
,,,Dependency-check,
,,Testing Unitario/Integración,,
,,,JUnit,
,,,Jest,
,,,UI Automator,
,,,TDD,
,,,Técnicas de caja blanca,
,,Testing funcional,,
,,,Selenium,
,,,Playwright,
,,,Cucumber,
,,,Espresso,
,,,Crashlytics,
,,,BDD,
,,,Tecnicas caja negra,
,,,Postman,
,,Testing performance,,
,,,JMeter,
,,,Octoperf,
,,,Blazemeter,
,,,Técnicas y procedimientos,
,Sistemas Distribuidos – Embedidos,,,
,,STM microcontroladores,,
,,Instaladores y empaquetadores,,
,,,Yocto,
,,,Inno Setup,
,,,Install Master,
,,,VS Installer,
,,Integración de sistemas,Integración CANBUS,
,,,Buildroot,
,Movilidad,,,
,,,,
,Arquitecturas de Servicios Web,,,
,,API,,
,,,REST,
,,,SOAP,
,,,GraphQL,
,,,HTTP,
,,,Websocket,
,,,CoAP,
,,,JSON-RPC,
